RAINFALL,TMAX,TMIN,TMEAN,WIND_SPEED,WIND_DIRECTION,FLOOD_HEIGHT_HIGHEST,FLOOD_HEIGHT_LOWEST,FLOOD__HEIGHT_AVE
7.4,28.9,22.4,25.6,4,40,11.36,10.61,10.9
6.8,26.8,22.8,24.8,4,360,11.42,10.61,10.92
7.8,30,23,26.5,3,360,11.72,10.6,10.98
12.6,29,23.5,26.3,2,320,11.51,10.61,10.94
0,31.5,26,28.8,3,140,11.54,10.62,10.97
0,30.3,25.5,27.9,3,200,11.5,10.61,10.94
0,30.5,24.5,27.5,4,200,11.98,10.61,10.97
0,31.3,25,28.2,2,270,11.44,10.61,10.89
0,31.2,25.2,28.2,2,270,11.33,10.62,10.89
2,29.8,24.5,27.2,2,340,11.18,10.62,10.85
0,32.5,24.5,28.5,2,270,11.14,10.63,10.87
0,30.5,25,27.8,2,360,11.13,10.61,10.86
0,31.2,25.8,28.5,2,360,11.19,10.62,10.87
0,29.5,25.3,27.4,3,180,11.24,10.62,10.87
0,31.2,24.8,28,2,180,11.29,10.62,10.87
0,30.5,24.5,27.5,2,140,11.39,10.61,10.91
0,31.2,25,28.1,2,90,11.52,10.61,10.94
0,33,24.8,28.9,3,90,11.6,10.61,10.93
0,32.5,25.5,29,2,40,11.67,10.61,11
10,29.2,25,27.1,2,360,11.62,10.61,10.92
0,31.8,24,27.9,3,40,11.52,10.61,10.88
0,31.6,24.6,28.1,2,240,11.41,10.61,10.85
0,31.5,25.1,28.3,2,220,11.29,10.61,10.83
0,30.8,23.5,27.2,3,270,11.18,10.62,10.85
0,30.8,24.5,27.7,2,270,11.45,10.62,10.85
0,30,25,27.5,2,180,11.2,10.61,10.83
0,33.2,26.5,29.9,4,120,11.26,10.62,10.87
0.6,31.8,26.3,29.1,2,220,11.29,10.62,10.9
0,33.5,26.2,29.9,2,240,11.32,10.62,10.91
0.2,33,26.1,29.5,3,60,11.34,10.62,10.9
0,33,27,30,3,120,11.32,10.61,10.91
0,33.4,26.1,29.8,2,140,11.36,10.61,10.91
0,33.4,25.4,29.4,3,120,11.36,10.61,10.91
0,33.8,26.5,30.1,3,40,11.33,10.61,10.88
0,34.6,27.2,30.9,3,120,11.33,10.62,10.87
5.8,33.2,25.4,29.3,3,200,11.31,10.62,10.87
0.5,32.2,25.6,28.9,3,180,11.85,10.63,10.95
0,31.2,26.5,28.9,4,220,11.19,10.65,10.91
0,31.8,27,29.4,4,220,11.25,10.62,10.93
0,33.8,27.5,30.6,3,220,11.34,10.62,10.93
9.2,31.5,26.2,28.9,2,200,11.37,10.62,10.92
0,33.4,25.7,29.6,3,90,11.38,10.62,10.91
0,33.2,27,30.1,2,120,11.37,10.61,10.92
0,32.5,25,28.8,3,240,11.44,10.61,10.94
0,34.8,27,30.9,3,140,11.46,10.61,10.97
0,34,27.5,30.8,2,120,11.5,10.61,10.99
0,35,27.8,31.4,3,160,11.47,10.61,10.97
0,34.5,27.7,31.1,3,220,11.46,10.61,10.96
0,34.3,27.5,30.9,3,90,11.83,10.58,10.9
0,34.8,27.6,31.2,2,200,11.38,10.9,11.19
0,34,27,30.5,3,240,11.38,10.78,11.09
0,33.5,27,30.3,3,240,11.38,10.69,11.08
27,32.5,25.5,29,3,220,11.38,10.65,11.08
0.4,33,26.5,29.8,3,90,11.38,10.59,11.07
0,33,27,30,3,120,11.39,10.6,11.07
