RAINFALL,TMAX,TMIN,TMEAN,WIND_SPEED,WIND_DIRECTION,FLOOD_HEIGHT_HIGHEST,FLOOD_HEIGHT_LOWEST,FLOOD__HEIGHT_AVE
11.2,30.5,25,27.8,2,240,12.01,11.22,11.56
0,33,25.3,29.2,3,360,12,11.22,11.52
0,33,25.2,29.1,3,60,11.96,11.21,11.5
0,29.5,25,27.3,1,180,11.86,11.21,11.48
1.8,31,25,28,2,270,11.77,11.24,11.49
0,32.5,25.2,28.9,3,90,11.65,11.29,11.48
0,32.5,24.6,28.5,1,40,11.57,11.33,11.47
0,32.2,25,28.6,2,270,11.65,11.33,11.46
0,31,25,28,2,180,11.68,11.33,11.44
1,31,24.8,27.9,3,270,11.76,11.23,11.44
11.6,31.8,23,27.4,2,360,11.77,11.18,11.42
1.2,30.6,25.2,27.9,3,360,11.81,11.18,11.43
26.4,29.5,23.5,26.5,3,360,11.82,11.07,11.4
0,29.5,23.5,26.5,2,360,11.88,11.2,11.47
22.8,30.8,24.5,27.7,3,240,11.88,11.17,11.5
0.2,31,25,28,2,220,11.88,11.2,11.49
2.8,30.5,24.2,27.4,3,360,11.86,11.22,11.47
0.2,28.5,23.4,26,4,360,11.79,11.15,11.42
0,30.2,23.5,26.9,2,60,11.74,11.2,11.4
0,28.5,22.1,25.3,2,240,11.6,11.18,11.36
0,29.5,23.2,26.4,2,270,11.5,11.17,11.35
0,30,23,26.5,2,340,11.48,11.21,11.36
0,29.5,23.5,26.5,2,360,11.53,11.22,11.35
0,30.3,24,27.2,3,300,11.67,11.23,11.36
0.8,30.6,24.3,27.5,2,270,11.74,11.13,11.36
0,31.2,25,28.1,2,270,11.82,11.06,11.36
0,31.4,25,28.2,3,240,11.91,11.01,11.36
0,31.5,25.2,28.4,2,270,11.93,10.97,11.35
0,31.5,25,28.3,2,270,11.92,10.97,11.34
0,31.2,26,28.6,2,270,11.86,10.95,11.31
33.2,33,25.4,29.2,3,270,11.84,10.94,11.3
0,30.6,25.3,28,2,40,11.79,10.97,11.28
0,30,24,27,4,360,11.62,10.99,11.23
0,29.5,24.3,26.9,4,60,11.43,11.01,11.2
0,29.5,23,26.3,2,360,11.31,11.03,11.19
0,30.5,24,27.3,2,220,11.34,11.06,11.17
0,30.3,25.1,27.7,2,60,11.39,11.02,11.16
0,28.9,24,26.5,2,270,11.47,10.97,11.17
0,30.2,24,27.1,2,270,11.57,10.91,11.19
0,30.1,24,27,2,90,11.62,10.92,11.19
0,30.8,24.5,27.7,2,240,11.64,10.83,11.16
0,31,24.5,27.8,2,220,11.63,10.81,11.14
0,33.8,25,29.4,2,270,11.66,10.82,11.14
0,33.3,26.3,29.8,3,220,11.64,10.82,11.15
0,32,25.6,28.8,2,240,11.58,10.83,11.15
0,31.2,24.3,27.8,2,340,11.54,10.84,11.12
0,32,26,29,2,40,11.51,10.85,11.11
0,31.2,25.8,28.5,2,180,11.42,10.96,11.17
0,31.5,26,28.8,3,320,11.33,10.92,11.1
0,32.5,26,29.3,3,360,11.22,10.95,11.11
1.2,30,26,28,2,180,11.28,10.98,11.11
1.4,30.5,25.4,28,2,120,11.38,10.98,11.12
14.6,29.2,23.5,26.4,2,360,11.45,10.86,11.11
0,32.6,24,28.3,3,60,11.59,10.79,11.12
0,30.7,25,27.9,2,270,11.67,10.71,11.11
0,31.5,25,28.3,3,270,11.71,10.68,11.11
0,32.6,25,28.8,3,90,11.7,10.68,11.07
0,32.5,25.6,29,3,360,11.7,10.72,11.07
